1577232000000,7255.77000000,7267.39000000,7224.29000000,7232.33000000,770.84982900,1577235599999,5586918.15832877,9813,404.19328800,2929350.37296346,0
1577235600000,7232.02000000,7250.00000000,7213.12000000,7243.67000000,714.58237200,1577239199999,5168060.50186866,9502,429.32152200,3105522.36140249,0
1577239200000,7243.67000000,7256.46000000,7228.60000000,7233.90000000,543.08397800,1577242799999,3933980.94269386,8493,236.32718500,1712061.77857604,0
1577242800000,7233.19000000,7248.26000000,7219.39000000,7229.58000000,615.41470200,1577246399999,4450505.90606783,8156,363.21822600,2626604.69277587,0
1577246400000,7229.99000000,7262.60000000,7228.26000000,7246.77000000,608.09107300,1577249999999,4405329.69773076,7518,279.97912000,2028480.83005594,0
1577250000000,7246.69000000,7256.08000000,7230.00000000,7232.59000000,568.05402800,1577253599999,4114970.88445648,7170,294.76942900,2135713.35347869,0
1577253600000,7232.06000000,7245.94000000,7222.69000000,7231.85000000,682.33400000,1577257199999,4935499.59807379,7997,355.95644900,2575037.43924336,0
1577257200000,7231.85000000,7271.77000000,7201.00000000,7252.19000000,1580.64835600,1577260799999,11439876.55549754,14909,827.30025600,5987269.74696681,0
1577260800000,7252.16000000,7267.85000000,7239.36000000,7253.80000000,1094.38084700,1577264399999,7938173.83853954,9374,624.73830000,4531780.89891790,0
1577264400000,7253.12000000,7261.04000000,7220.46000000,7232.97000000,1075.36122900,1577267999999,7784927.05098701,10618,599.75404700,4341994.19378244,0
1577268000000,7232.99000000,7246.51000000,7210.45000000,7227.67000000,1109.48142700,1577271599999,8015742.92835021,10826,607.45745800,4388959.71083117,0
1577271600000,7227.67000000,7240.00000000,7212.99000000,7217.03000000,798.53580000,1577275199999,5769364.22615811,8399,442.81277000,3199454.35707977,0
1577275200000,7216.92000000,7256.00000000,7170.73000000,7229.48000000,2593.47189300,1577278799999,18718352.58692985,20453,1445.76631900,10433579.56139187,0
1577278800000,7229.17000000,7229.17000000,7179.69000000,7191.54000000,1579.26608900,1577282399999,11366723.42245440,14555,840.30686100,6048344.73936816,0
1577282400000,7190.00000000,7210.54000000,7172.01000000,7191.15000000,1418.03808400,1577285999999,10197504.49803227,13870,858.49650100,6173856.51028200,0
1577286000000,7190.66000000,7204.99000000,7180.00000000,7189.56000000,845.07753100,1577289599999,6078299.10756253,10017,475.93074400,3423388.24682617,0
1577289600000,7189.58000000,7204.34000000,7128.86000000,7146.21000000,2444.66094700,1577293199999,17498080.84459971,20685,949.40109900,6795024.48924052,0
1577293200000,7145.70000000,7176.38000000,7131.39000000,7164.17000000,1326.97145600,1577296799999,9491787.30941592,14540,689.29429400,4930346.92435760,0
1577296800000,7164.17000000,7178.84000000,7140.00000000,7173.41000000,816.00133500,1577300399999,5840230.99423533,16205,441.26890800,3158407.31018338,0
1577300400000,7174.51000000,7247.00000000,7166.01000000,7239.02000000,1703.49536400,1577303999999,12280990.90356636,21599,905.21150500,6527642.24263254,0
1577304000000,7238.02000000,7269.99000000,7208.92000000,7244.04000000,1699.97871100,1577307599999,12320426.22543715,14995,890.14243000,6453041.35467926,0
1577307600000,7245.34000000,7250.65000000,7209.00000000,7220.10000000,1095.79458200,1577311199999,7921173.27079726,10187,576.38687900,4167304.22896747,0
1577311200000,7219.75000000,7230.00000000,7168.42000000,7213.57000000,1290.05559700,1577314799999,9283362.04924942,12896,623.61611700,4488231.06013519,0
1577314800000,7213.56000000,7217.31000000,7188.51000000,7204.63000000,518.41509300,1577318399999,3733021.60851309,7147,271.38928400,1954526.00873679,0
