1653091200000,29201.01000000,29347.52000000,29164.95000000,29279.17000000,803.22404000,1653094799999,23499703.87060330,35015,389.29011000,11389134.12428160,0
1653094800000,29279.16000000,29300.00000000,28947.28000000,29150.00000000,1490.97084000,1653098399999,43409580.52418520,44878,707.64657000,20605347.41120890,0
1653098400000,29150.00000000,29258.57000000,29076.14000000,29228.98000000,729.63095000,1653101999999,21294014.81705920,25383,330.53631000,9646920.50211760,0
1653102000000,29228.97000000,29288.01000000,29124.59000000,29258.18000000,711.88315000,1653105599999,20786574.04712630,27919,391.99379000,11445394.30229520,0
1653105600000,29258.17000000,29272.18000000,29205.23000000,29255.16000000,450.96651000,1653109199999,13187523.85674760,16170,199.61341000,5836816.07525210,0
1653109200000,29255.16000000,29325.00000000,29223.52000000,29286.28000000,710.75511000,1653112799999,20800425.63009720,26663,348.69854000,10204607.13098630,0
1653112800000,29286.28000000,29376.10000000,29230.03000000,29362.93000000,624.52065000,1653116399999,18302279.06498230,20220,324.94022000,9521425.25567280,0
1653116400000,29362.93000000,29566.00000000,29320.00000000,29423.18000000,1553.52420000,1653119999999,45755167.81593500,33186,799.65603000,23554526.53949170,0
1653120000000,29423.18000000,29481.10000000,29357.76000000,29375.04000000,763.04671000,1653123599999,22445063.06021100,20162,346.03664000,10178787.91728900,0
1653123600000,29375.04000000,29384.31000000,29246.74000000,29342.89000000,693.20507000,1653127199999,20319247.71538420,22345,316.88968000,9289428.05993730,0
1653127200000,29342.88000000,29432.29000000,29218.49000000,29299.87000000,985.38704000,1653130799999,28896320.19396310,25225,581.03807000,17038165.57631720,0
1653130800000,29299.88000000,29319.99000000,29168.68000000,29288.00000000,749.58983000,1653134399999,21919788.38683530,24942,395.36396000,11560376.00275210,0
1653134400000,29288.00000000,29347.56000000,29190.00000000,29293.05000000,767.28339000,1653137999999,22464849.32676350,23239,409.48619000,11988656.10949600,0
1653138000000,29293.04000000,29371.28000000,29240.00000000,29308.93000000,595.35987000,1653141599999,17447663.32926260,21393,250.24475000,7334765.22606350,0
1653141600000,29308.94000000,29484.90000000,29258.99000000,29405.92000000,1114.27013000,1653145199999,32725767.92320630,26653,539.65538000,15847372.38632490,0
1653145200000,29405.91000000,29645.70000000,29277.77000000,29552.47000000,1867.02437000,1653148799999,54980195.16376020,39741,1045.66516000,30801847.71805120,0
1653148800000,29552.47000000,29656.18000000,29495.93000000,29563.17000000,1253.02269000,1653152399999,37046655.38733190,37984,599.97618000,17736984.74291200,0
1653152400000,29563.17000000,29600.00000000,29390.62000000,29408.74000000,1058.60180000,1653155999999,31202513.74391510,30652,489.66086000,14432525.17109540,0
1653156000000,29408.74000000,29493.40000000,29404.25000000,29478.06000000,790.55474000,1653159599999,23287052.48817090,26966,420.17403000,12376904.53360530,0
1653159600000,29478.06000000,29580.02000000,29428.65000000,29464.31000000,1031.24076000,1653163199999,30422195.39870870,28182,595.41347000,17565433.65091250,0
1653163200000,29464.32000000,29523.98000000,29350.00000000,29429.29000000,616.85678000,1653166799999,18162792.21978620,22631,294.61913000,8675778.01166310,0
1653166800000,29429.29000000,29464.65000000,29340.00000000,29352.56000000,523.57591000,1653170399999,15398666.65650620,21705,260.78765000,7670722.64928490,0
1653170400000,29352.55000000,29414.26000000,29311.07000000,29414.26000000,438.38109000,1653173999999,12870090.24149120,19918,207.26261000,6084735.09097270,0
1653174000000,29414.25000000,29538.66000000,29408.36000000,29445.06000000,664.25561000,1653177599999,19570533.11717860,22314,314.28012000,9259494.61460430,0
