1609804800000,31989.75000000,32853.38000000,31989.74000000,32430.49000000,7707.64341000,1609808399999,250007916.90775211,127581,4569.48199000,148144849.10568232,0
1609808400000,32430.69000000,32796.00000000,32224.25000000,32786.06000000,4246.96065000,1609811999999,138118302.36451834,83071,2295.49344300,74675015.21841346,0
1609812000000,32786.05000000,32828.26000000,32221.10000000,32306.64000000,3163.43004400,1609815599999,102893990.21816806,65391,1571.90279200,51120318.98503503,0
1609815600000,32306.64000000,32536.09000000,31130.86000000,31200.00000000,5695.04449600,1609819199999,181350412.23885364,112880,2751.73680400,87713825.89386314,0
1609819200000,31190.04000000,31538.45000000,30418.00000000,30858.98000000,7229.48636600,1609822799999,224769397.84667815,157600,3122.03990900,97170832.72847822,0
1609822800000,30858.98000000,31366.16000000,29900.00000000,30436.25000000,6366.97612400,1609826399999,195158786.10553854,159593,2694.13433100,82666054.53886334,0
1609826400000,30436.26000000,31270.43000000,29900.00000000,31123.25000000,6611.21073500,1609829999999,202286248.33256154,127994,3659.29882200,111844754.48935623,0
1609830000000,31123.25000000,31312.03000000,30759.47000000,30817.77000000,2811.38395300,1609833599999,87206069.28127892,71734,1279.15583000,39679285.44614070,0
1609833600000,30817.78000000,31522.19000000,30817.78000000,31192.09000000,3237.12095700,1609837199999,101016094.16648097,88984,1691.74721800,52801113.11961794,0
1609837200000,31192.16000000,31821.94000000,31157.90000000,31569.63000000,3935.59797900,1609840799999,124016625.84180410,91763,2077.94349900,65482399.52003036,0
1609840800000,31569.63000000,31687.11000000,31088.33000000,31345.77000000,3174.76039600,1609844399999,99666137.72028313,81295,1624.61121700,51008190.21588990,0
1609844400000,31347.73000000,31777.00000000,31284.15000000,31776.66000000,2908.12176800,1609847999999,91671919.09848990,72492,1608.73697700,50727750.80430447,0
1609848000000,31776.66000000,32057.13000000,31563.84000000,31585.01000000,4161.55133400,1609851599999,132493096.80311255,94633,2278.18509000,72558530.75037737,0
1609851600000,31585.00000000,31900.00000000,31416.27000000,31460.01000000,2523.02316500,1609855199999,79971740.01184837,64040,1248.02063100,39565656.12394609,0
1609855200000,31460.11000000,32375.07000000,31111.78000000,32342.33000000,5942.10285400,1609858799999,188316129.32606876,137989,3384.55523600,107337665.44604894,0
1609858800000,32343.61000000,32374.31000000,31929.41000000,32099.98000000,3616.59901600,1609862399999,116161069.22208343,98120,1862.74385500,59830250.35901147,0
1609862400000,32099.97000000,32670.00000000,31763.23000000,32469.90000000,4926.17161600,1609865999999,159348378.63575512,114817,2517.10906500,81421262.10859769,0
1609866000000,32469.90000000,32790.00000000,32254.18000000,32742.73000000,3599.64571800,1609869599999,116970729.32707121,82231,1693.39973600,55049206.49118736,0
1609869600000,32742.73000000,33433.55000000,32650.03000000,33372.84000000,6647.00992100,1609873199999,219940103.11654606,129769,3830.69609100,126730979.20382337,0
1609873200000,33372.83000000,34187.09000000,33098.82000000,33697.75000000,8659.33850300,1609876799999,292047625.83670093,179774,4641.04381700,156580281.19993935,0
1609876800000,33693.80000000,34044.13000000,33318.00000000,33969.17000000,5800.65390700,1609880399999,195673767.39849565,106875,2778.60271100,93787060.66580112,0
1609880400000,33968.66000000,33996.03000000,33471.94000000,33699.63000000,3682.07415100,1609883999999,124381906.41438341,74894,1702.31561300,57517127.96443939,0
1609884000000,33699.63000000,34360.00000000,33695.60000000,34183.42000000,4616.40333400,1609887599999,157718468.59895870,113239,2717.78634600,92848224.48505438,0
1609887600000,34183.43000000,34284.91000000,33650.00000000,33949.53000000,4787.68664100,1609891199999,162432229.83348370,90092,2091.01373200,70934458.77764801,0
